,Topic,Word,P
0,0,hotel,0.07367676
1,0,pantai,0.050110634
2,0,jam,0.043461375
3,0,sisi,0.04053934
4,0,losari,0.032008376
5,0,pusat,0.026805516
6,0,malam,0.019822419
7,0,bugis,0.018806072
8,0,toko,0.018428644
9,0,kaki,0.017066857
10,0,minum,0.013845975
11,0,mahasiswa,0.011884667
12,0,gedung,0.011856324
13,0,giat,0.011387241
14,0,seberang,0.01064368
15,0,batu,0.010597708
16,0,idr,0.009446711
17,0,ragu,0.009370656
18,0,nuansa,0.008032276
19,0,tamu,0.0073542064
20,1,bahasa,0.07778088
21,1,inggris,0.07058096
22,1,dinding,0.032437686
23,1,menit,0.026154509
24,1,pikir,0.025748838
25,1,ambil,0.023747213
26,1,coba,0.019250391
27,1,alam,0.015595999
28,1,kamar,0.014889102
29,1,bicara,0.014889056
30,1,acara,0.0143517405
31,1,repot,0.0141957505
32,1,beda,0.013554751
33,1,latih,0.01260347
34,1,jaga,0.0110407425
35,1,tulis,0.010051111
36,1,kesan,0.009627064
37,1,wawancara,0.009532716
38,1,rekomendasi,0.00842993
39,1,selenggara,0.008019209
40,2,unjung,0.07368633
41,2,sejarah,0.057569314
42,2,tarik,0.050842945
43,2,kunjung,0.04295358
44,2,museum,0.035097755
45,2,pergi,0.02877625
46,2,bersih,0.028129535
47,2,foto,0.027886987
48,2,awat,0.02625524
49,2,bangun,0.024416016
50,2,wisata,0.023299733
51,2,situs,0.019716412
52,2,laku,0.019165887
53,2,lokasi,0.016108377
54,2,senang,0.015433699
55,2,lokal,0.014876873
56,2,duduk,0.012121159
57,2,indah,0.0111378515
58,2,daerah,0.010352698
59,2,salah,0.009760466
60,3,lihat,0.10390672
61,3,layak,0.050007798
62,3,buah,0.048233796
63,3,bangun,0.026054146
64,3,museum,0.022992702
65,3,belanda,0.022495706
66,3,kolonial,0.02056139
67,3,tampil,0.0177538
68,3,ambil,0.016810061
69,3,diponegoro,0.013904194
70,3,harap,0.013285584
71,3,pangeran,0.013236985
72,3,tahan,0.01285154
73,3,paham,0.012376682
74,3,pilih,0.0108556
75,3,penjara,0.010343339
76,3,kapal,0.009914675
77,3,perintah,0.009895474
78,3,kompleks,0.009884802
79,3,rumah,0.009723825
80,4,sejarah,0.04688448
81,4,jalan,0.04410402
82,4,orang,0.04067064
83,4,fort,0.037247337
84,4,milik,0.036988128
85,4,museum,0.031498194
86,4,bangun,0.03132702
87,4,bagus,0.03096344
88,4,temu,0.02605913
89,4,kota,0.021493679
90,4,pandu,0.020682095
91,4,indonesia,0.019914022
92,4,ajar,0.018326519
93,4,tua,0.01803722
94,4,anak,0.017528981
95,4,sulawesi,0.015396037
96,4,gratis,0.013656749
97,4,kunjung,0.013649919
98,4,tinggal,0.013003243
99,4,belanda,0.012866491
100,5,masuk,0.088552825
101,5,museum,0.066531636
102,5,biaya,0.043292206
103,5,bayar,0.034039717
104,5,tiket,0.0267764
105,5,galigo,0.024319207
106,5,nikmat,0.023102634
107,5,la,0.020850645
108,5,rp,0.018156659
109,5,pintu,0.017922955
110,5,sumbang,0.016759468
111,5,murah,0.015041312
112,5,isi,0.014321155
113,5,gedung,0.012849509
114,5,bantu,0.012196031
115,5,habis,0.011931366
116,5,kali,0.010614316
117,5,kondisi,0.010302903
118,5,keliling,0.009975388
119,5,terang,0.009973013
